playernum,dmbunivid,sportsinteractive
25021,25021,435
24883,24883,
24902,24902,
23957,23957,438
25760,25760,439
11989,11989,440
24760,24760,441
25051,25051,
17640,17640,443
25348,25348,
12388,12388,445
25462,25462,
17900,17900,447
19361,19361,448
24562,24562,449
22727,22727,
23328,23328,
24377,24377,452
25134,25134,453
25838,25838,454
25995,25995,
24733,24733,
25316,25316,458
24930,24930,
25551,25551,460
24625,24625,461
25633,25633,462
21059,21059,
20159,20159,
24696,24696,
19565,19565,467
20260,20260,
25225,25225,469
24632,24632,
26026,26026,
25748,25748,
25695,25695,474
23256,23256,475
24652,24652,
21061,21061,477
25212,25212,
24546,24546,
25171,25171,480
24842,24842,
26064,26064,
25964,25964,
22171,22171,484
25247,25247,
25564,25564,
25715,25715,487
24461,24461,
25094,25094,489
25943,25943,490
25847,25847,491
25926,25926,492
25380,25380,493
10489,10489,
25546,25546,495
24610,24610,
19217,19217,497
24784,24784,498
25263,25263,
25809,25809,
24793,24793,501
24989,24989,502
10867,10867,
26032,26032,
25024,25024,
25152,25152,
12201,12201,
25243,25243,508
26072,26072,509
14612,14612,510
25596,25596,
15025,15025,512
25601,25601,
16244,16244,
25766,25766,515
26012,26012,
24697,24697,517
24515,24515,518
26031,26031,
25903,25903,
25102,25102,521
25307,25307,522
25639,25639,
25785,25785,
26013,26013,
25824,25824,526
25673,25673,527
21520,21520,528
26067,26067,
26002,26002,530
25811,25811,
25814,25814,
25374,25374,
24781,24781,534
25237,25237,
24779,24779,537
24986,24986,538
17715,17715,539
10806,10806,540
24450,24450,
25588,25588,542
24936,24936,543
20435,20435,544
24985,24985,
24609,24609,
25257,25257,
25711,25711,
25529,25529,
10420,10420,550
12232,12232,551
12486,12486,552
24462,24462,553
25045,25045,
25864,25864,
13918,13918,556
16814,16814,557
25107,25107,558
19442,19442,559
20688,20688,
22658,22658,561
24984,24984,562
25198,25198,563
25202,25202,
15246,15246,566
25826,25826,567
25755,25755,568
24857,24857,569
26069,26069,
25349,25349,573
24472,24472,574
11702,11702,575
25494,25494,
24868,24868,
25069,25069,
19781,19781,579
25558,25558,580
24966,24966,
25025,25025,582
13644,13644,583
25306,25306,
18669,18669,
24933,24933,586
25940,25940,
22936,22936,588
25006,25006,589
15497,15497,590
25653,25653,
25351,25351,592
25535,25535,
25723,25723,595
25840,25840,
11210,11210,597
25246,25246,598
14705,14705,
25771,25771,600
25623,25623,
25120,25120,602
24912,24912,603
25139,25139,604
20637,20637,605
20962,20962,606
26039,26039,
25491,25491,608
26081,26081,609
13681,13681,610
15237,15237,
25396,25396,612
11675,11675,613
25992,25992,
14092,14092,615
25866,25866,616
24869,24869,618
25621,25621,620
17854,17854,621
25121,25121,622
19710,19710,623
26022,26022,
25345,25345,625
24959,24959,
22150,22150,627
25953,25953,
24775,24775,629
23273,23273,
23297,23297,631
12943,12943,632
25577,25577,
24820,24820,634
25444,25444,635
17560,17560,
25668,25668,
24886,24886,
13856,13856,
25770,25770,640
20409,20409,641
25988,25988,642
25725,25725,
25724,25724,
24634,24634,
24653,24653,647
26066,26066,
24684,24684,649
15663,15663,650
24885,24885,651
25625,25625,652
17568,17568,
25114,25114,654
18754,18754,655
25129,25129,656
24928,24928,
19683,19683,
25329,25329,
24566,24566,
19971,19971,
20913,20913,
25496,25496,
24763,24763,665
24589,24589,
23274,23274,667
24783,24783,668
23394,23394,669
26046,26046,670
25734,25734,671
25582,25582,672
26060,26060,
25145,25145,674
25925,25925,
25489,25489,676
25701,25701,
18052,18052,678
10030,10030,679
25005,25005,
26000,26000,
12056,12056,
25749,25749,683
25253,25253,
24663,24663,685
14796,14796,686
25789,25789,
25490,25490,688
25804,25804,689
25805,25805,
25818,25818,
22784,22784,692
14257,14257,693
25303,25303,694
26003,26003,695
25160,25160,696
24762,24762,
26011,26011,
25996,25996,699
25692,25692,700
25616,25616,
25642,25642,
24976,24976,703
25976,25976,
25431,25431,
14462,14462,707
25355,25355,708
25892,25892,709
24671,24671,710
25445,25445,711
17652,17652,712
24564,24564,713
22474,22474,
25390,25390,715
24665,24665,716
15005,15005,
25277,25277,718
17664,17664,719
21087,21087,720
18730,18730,721
24712,24712,722
24958,24958,723
24999,24999,724
10285,10285,725
25013,25013,
25221,25221,
11528,11528,728
26061,26061,
25867,25867,
25874,25874,731
16324,16324,
25288,25288,
24446,24446,
25914,25914,
24920,24920,735
24728,24728,736
25793,25793,
24739,24739,
26006,26006,
25514,25514,
24340,24340,741
25199,25199,742
21235,21235,743
26015,26015,
25927,25927,
25250,25250,
25016,25016,747
25617,25617,
25516,25516,749
25523,25523,750
25063,25063,751
25777,25777,752
25018,25018,753
25031,25031,754
25739,25739,
24771,24771,
23480,23480,757
15478,15478,758
26008,26008,
22440,22440,
15384,15384,761
24498,24498,762
25219,25219,
24647,24647,
24916,24916,765
25155,25155,
10131,10131,
24453,24453,769
26023,26023,
25985,25985,
14800,14800,772
17717,17717,
25469,25469,
24737,24737,
25798,25798,
25495,25495,777
25989,25989,
25197,25197,779
25524,25524,
25888,25888,
25492,25492,
25082,25082,783
25656,25656,784
24594,24594,
24738,24738,786
24618,24618,
20619,20619,788
25681,25681,
25589,25589,790
24510,24510,
25958,25958,
20955,20955,
25259,25259,
24620,24620,795
25417,25417,796
25746,25746,
24839,24839,798
25862,25862,799
14876,14876,800
15072,15072,801
15116,15116,802
26041,26041,803
24706,24706,805
24888,24888,
24899,24899,
17724,17724,807
25629,25629,
18580,18580,809
25324,25324,810
16443,16443,
25999,25999,812
25156,25156,
25163,25163,814
22712,22712,
25515,25515,
24133,24133,
24797,24797,818
25843,25843,819
15036,15036,820
12607,12607,821
24906,24906,
10824,10824,823
25000,25000,
24796,24796,825
26036,26036,
26037,26037,
24827,24827,828
25433,25433,
26033,26033,
14260,14260,832
25446,25446,
25086,25086,
25459,25459,835
17371,17371,836
18042,18042,837
25786,25786,
24732,24732,839
24741,24741,
22314,22314,842
23453,23453,843
23983,23983,845
25386,25386,
25296,25296,847
25033,25033,
25130,25130,849
24904,24904,850
25023,25023,851
24803,24803,852
25562,25562,853
25936,25936,
25806,25806,
25941,25941,
25193,25193,857
23153,23153,858
25517,25517,859
25028,25028,860
25983,25983,861
10667,10667,862
24449,24449,863
25921,25921,864
24774,24774,865
25729,25729,866
10837,10837,
11200,11200,868
24816,24816,
26038,26038,870
11852,11852,871
24821,24821,
25035,25035,
25244,25244,
25991,25991,
24657,24657,876
24468,24468,877
13982,13982,878
24481,24481,
15254,15254,
24501,24501,
16267,16267,
16314,16314,
24890,24890,884
25775,25775,885
25293,25293,886
17561,17561,887
25109,25109,
24905,24905,889
25780,25780,890
17929,17929,
25466,25466,
25632,25632,893
18200,18200,894
25470,25470,895
19101,19101,896
19127,19127,
25645,25645,
19349,19349,899
19368,19368,900
20257,20257,902
25154,25154,
24955,24955,904
20771,20771,905
25949,25949,
22345,22345,907
22713,22713,908
24776,24776,
23009,23009,910
23131,23131,
25195,25195,912
23985,23985,913
25227,25227,914
24915,24915,
23331,23331,916
10181,10181,917
25437,25437,918
25747,25747,919
25865,25865,
26068,26068,
25696,25696,
24569,24569,923
24654,24654,924
25264,25264,
24578,24578,
25286,25286,927
25792,25792,
25666,25666,929
24482,24482,930
25055,25055,931
24938,24938,932
26014,26014,933
21307,21307,
12900,12900,935
25891,25891,936
23395,23395,937
24635,24635,938
24876,24876,
25889,25889,940
18734,18734,941
19925,19925,942
24691,24691,
25677,25677,
25467,25467,
25330,25330,
25426,25426,
11201,11201,948
25233,25233,949
15642,15642,950
17956,17956,
26055,26055,
10015,10015,
24799,24799,955
11789,11789,
25765,25765,
24705,24705,958
24900,24900,959
20539,20539,960
21878,21878,961
24608,24608,962
10350,10350,
11194,11194,
26057,26057,
25439,25439,966
18149,18149,967
25507,25507,
23487,23487,969
25017,25017,
25135,25135,
19471,19471,
24942,24942,973
24748,24748,974
24994,24994,975
18389,18389,976
25402,25402,977
19926,19926,978
25952,25952,
24538,24538,980
25032,25032,981
25089,25089,982
24909,24909,983
25143,25143,984
26007,26007,985
25704,25704,986
24767,24767,987
25425,25425,
25997,25997,
16453,16453,990
23346,23346,
24995,24995,992
25206,25206,993
